Treatment,Plot,new_plot
Snow,1,PPJA3
Snow,2,PPSA2
Snow,3,PPCH4
Snow,4,PPSA1
Snow,5,PPJA3
Snow,6,PPC3
Control,1,PPSA3
Control,2,PPCH2
Control,3,PPC2
Control,4,PPJA2
Control,5,PPSD3
Control,6,PPSA4
