Date,SiteID,Adjacency,ThawDep_cm,Lat_WGS84,Lon_WGS84,X_UTMz6,Y_UTMz6,Altitude_m
20180820,APEX5_7,ERT electrode_32.77m,125,64.695809,-148.322474,436931.8206,7175211.82,131.3
20180820,APEX5_7,ERT electrode_34.19m,139,64.695811,-148.322444,436933.2317,7175212.005,131.24
20180820,APEX5_7,ERT electrode_35.77m,145,64.695814,-148.322412,436934.7746,7175212.332,131.29
20180820,APEX5_7,ERT electrode_37.42m,149,64.695818,-148.322379,436936.3807,7175212.711,131.23
20180820,APEX5_7,ERT electrode_38.82m,125,64.695819,-148.322349,436937.7761,7175212.828,131.22
20180820,APEX5_7,ERT electrode_40.30m,123,64.69582,-148.322318,436939.2528,7175212.953,131.23
20180820,APEX5_7,ERT electrode_41.65m,125,64.695823,-148.322291,436940.5746,7175213.202,131.26
20180820,APEX5_7,ERT electrode_43.34m,142,64.695825,-148.322256,436942.2449,7175213.46,131.31
20180820,APEX5_7,ERT electrode_44.73m,136,64.695829,-148.322228,436943.5929,7175213.82,131.27
20180820,APEX5_7,ERT electrode_46.23m,150,64.69583,-148.322197,436945.0883,7175213.926,131.32
20180820,APEX5_7,ERT electrode_47.91m,126,64.695831,-148.322161,436946.7641,7175213.99,131.32
20180820,APEX5_7,ERT electrode_49.30m,131,64.695833,-148.322133,436948.1372,7175214.18,131.4
20180820,APEX5_7,ERT electrode_50.76m,148,64.695835,-148.322102,436949.5905,7175214.329,131.3
20180820,APEX5_7,ERT electrode_52.29m,143,64.695835,-148.32207,436951.1185,7175214.4,131.29
20180820,APEX5_7,ERT electrode_53.85m,127,64.695838,-148.322038,436952.6558,7175214.683,131.32
20180820,APEX5_7,ERT electrode_55.14m,137,64.695841,-148.322012,436953.9208,7175214.953,131.21
20180820,APEX5_7,ERT electrode_56.80m,136,64.695843,-148.321978,436955.5617,7175215.173,131.34
20180820,APEX5_7,ERT electrode_58.29m,100,64.695844,-148.321946,436957.0476,7175215.285,131.39
20180820,APEX5_7,ERT electrode_59.63m,90,64.695844,-148.321918,436958.3818,7175215.209,131.41
20180820,APEX5_7,ERT electrode_61.14m,75,64.695847,-148.321887,436959.8663,7175215.48,131.4
20180820,APEX5_7,ERT electrode_62.74m,73,64.695849,-148.321854,436961.4634,7175215.66,131.5
20180820,APEX5_7,ERT electrode_64.20m,66,64.695851,-148.321824,436962.8999,7175215.917,131.45
20180820,APEX5_7,ERT electrode_65.74m,67,64.695854,-148.321792,436964.4217,7175216.146,131.49
