Site,Treatment,Plot,Year,Date,Ice_Depth_cm
Permafrost Plateau ,Control,1,2009,6/10/2009,21.5
Permafrost Plateau ,Control,2,2009,6/10/2009,19
Permafrost Plateau ,Control,3,2009,6/10/2009,19.5
Permafrost Plateau ,Control,4,2009,6/10/2009,14
Permafrost Plateau ,Control,5,2009,6/10/2009,20.9
Permafrost Plateau ,Control,6,2009,6/10/2009,26.5
Permafrost Plateau ,Snow,1,2009,6/10/2009,24.4
Permafrost Plateau ,Snow,2,2009,6/10/2009,19.9
Permafrost Plateau ,Snow,3,2009,6/10/2009,21.5
Permafrost Plateau ,Snow,4,2009,6/10/2009,21.8
Permafrost Plateau ,Snow,5,2009,6/10/2009,19
Permafrost Plateau ,Snow,6,2009,6/10/2009,29.7
Permafrost Plateau ,Control,1,2009,6/12/2009,20.7
Permafrost Plateau ,Control,2,2009,6/12/2009,18.4
Permafrost Plateau ,Control,3,2009,6/12/2009,17.3
Permafrost Plateau ,Control,4,2009,6/12/2009,14.5
Permafrost Plateau ,Control,5,2009,6/12/2009,16.3
Permafrost Plateau ,Control,6,2009,6/12/2009,19.3
Permafrost Plateau ,Snow,1,2009,6/12/2009,20.5
Permafrost Plateau ,Snow,2,2009,6/12/2009,20.5
Permafrost Plateau ,Snow,3,2009,6/12/2009,23.5
Permafrost Plateau ,Snow,4,2009,6/12/2009,19.7
Permafrost Plateau ,Snow,5,2009,6/12/2009,15.6
Permafrost Plateau ,Snow,6,2009,6/12/2009,21.1
Permafrost Plateau ,Control,1,2009,6/15/2009,24.1
Permafrost Plateau ,Control,2,2009,6/15/2009,23.7
Permafrost Plateau ,Control,3,2009,6/15/2009,18.4
Permafrost Plateau ,Control,4,2009,6/15/2009,15.9
Permafrost Plateau ,Control,5,2009,6/15/2009,14.5
Permafrost Plateau ,Control,6,2009,6/15/2009,30.9
Permafrost Plateau ,Snow,1,2009,6/15/2009,21.5
Permafrost Plateau ,Snow,2,2009,6/15/2009,13.1
Permafrost Plateau ,Snow,3,2009,6/15/2009,22.5
Permafrost Plateau ,Snow,4,2009,6/15/2009,23.6
Permafrost Plateau ,Snow,5,2009,6/15/2009,14.6
Permafrost Plateau ,Snow,6,2009,6/15/2009,32
Permafrost Plateau ,Control,1,2009,6/16/2009,18.5
Permafrost Plateau ,Control,2,2009,6/16/2009,16.3
Permafrost Plateau ,Control,3,2009,6/16/2009,8.5
Permafrost Plateau ,Control,4,2009,6/16/2009,20
Permafrost Plateau ,Control,5,2009,6/16/2009,18.4
Permafrost Plateau ,Control,6,2009,6/16/2009,26.5
Permafrost Plateau ,Snow,1,2009,6/16/2009,20.9
Permafrost Plateau ,Snow,2,2009,6/16/2009,19.7
Permafrost Plateau ,Snow,3,2009,6/16/2009,23.5
Permafrost Plateau ,Snow,4,2009,6/16/2009,16.8
Permafrost Plateau ,Snow,5,2009,6/16/2009,18.5
Permafrost Plateau ,Snow,6,2009,6/16/2009,16.4
Permafrost Plateau ,Control,1,2009,6/18/2009,22.4
Permafrost Plateau ,Control,2,2009,6/18/2009,20.9
Permafrost Plateau ,Control,3,2009,6/18/2009,16.2
Permafrost Plateau ,Control,4,2009,6/18/2009,16.6
Permafrost Plateau ,Control,5,2009,6/18/2009,17.3
Permafrost Plateau ,Control,6,2009,6/18/2009,25.8
Permafrost Plateau ,Snow,1,2009,6/18/2009,23.9
Permafrost Plateau ,Snow,2,2009,6/18/2009,17.2
Permafrost Plateau ,Snow,3,2009,6/18/2009,23
Permafrost Plateau ,Snow,4,2009,6/18/2009,23.7
Permafrost Plateau ,Snow,5,2009,6/18/2009,15.7
Permafrost Plateau ,Snow,6,2009,6/18/2009,16.3
Permafrost Plateau ,Control,1,2009,6/22/2009,33.3
Permafrost Plateau ,Control,2,2009,6/22/2009,23.9
Permafrost Plateau ,Control,3,2009,6/22/2009,22.2
Permafrost Plateau ,Control,4,2009,6/22/2009,19.5
Permafrost Plateau ,Control,5,2009,6/22/2009,27.5
Permafrost Plateau ,Control,6,2009,6/22/2009,31.2
Permafrost Plateau ,Snow,1,2009,6/22/2009,21.4
Permafrost Plateau ,Snow,2,2009,6/22/2009,14.5
Permafrost Plateau ,Snow,3,2009,6/22/2009,27.6
Permafrost Plateau ,Snow,4,2009,6/22/2009,24.1
Permafrost Plateau ,Snow,5,2009,6/22/2009,24.6
Permafrost Plateau ,Snow,6,2009,6/22/2009,30.5
Permafrost Plateau ,Control,1,2009,6/25/2009,24
Permafrost Plateau ,Control,2,2009,6/25/2009,25.7
Permafrost Plateau ,Control,3,2009,6/25/2009,22.3
Permafrost Plateau ,Control,4,2009,6/25/2009,20.2
Permafrost Plateau ,Control,5,2009,6/25/2009,26
Permafrost Plateau ,Control,6,2009,6/25/2009,49.7
Permafrost Plateau ,Snow,1,2009,6/25/2009,14.5
Permafrost Plateau ,Snow,2,2009,6/25/2009,27.2
Permafrost Plateau ,Snow,3,2009,6/25/2009,18.7
Permafrost Plateau ,Snow,4,2009,6/25/2009,24.3
Permafrost Plateau ,Snow,5,2009,6/25/2009,27.5
Permafrost Plateau ,Snow,6,2009,6/25/2009,26.2
